Date,GAZP
2020-01-03,228.4952850341797
2020-01-06,226.3338165283203
2020-01-08,225.66334533691406
2020-01-09,224.14593505859375
2020-01-10,222.23150634765625
2020-01-13,221.87863159179688
2020-01-14,220.55528259277344
2020-01-15,221.7021942138672
2020-01-16,224.3135528564453
2020-01-17,225.31045532226562
2020-01-20,223.64306640625
2020-01-21,223.19313049316406
2020-01-22,218.87908935546875
2020-01-23,211.1155242919922
2020-01-24,209.92453002929688
2020-01-27,203.75779724121094
2020-01-28,207.3219757080078
2020-01-29,204.67530822753906
2020-01-30,204.2606658935547
2020-01-31,199.99954223632812
2020-02-03,200.82882690429688
2020-02-04,203.3519744873047
2020-02-05,205.16934204101562
2020-02-06,204.1283416748047
2020-02-07,202.12570190429688
2020-02-10,198.67620849609375
2020-02-11,206.35153198242188
2020-02-12,209.99510192871094
2020-02-13,206.04275512695312
2020-02-14,205.11642456054688
2020-02-17,206.21920776367188
2020-02-18,203.3519744873047
2020-02-19,204.5870819091797
2020-02-20,206.96908569335938
2020-02-21,204.67530822753906
2020-02-25,198.2174530029297
2020-02-26,198.28802490234375
2020-02-27,191.8831024169922
2020-02-28,178.78211975097656
2020-03-02,175.367919921875
2020-03-03,177.7499237060547
2020-03-04,176.44422912597656
2020-03-05,174.67979431152344
2020-03-06,166.0957794189453
2020-03-10,150.8598175048828
2020-03-11,151.7685089111328
2020-03-12,144.44606018066406
2020-03-13,146.5369415283203
2020-03-16,146.5369415283203
2020-03-17,147.3309326171875
2020-03-18,146.74867248535156
2020-03-19,154.00051879882812
2020-03-20,155.50030517578125
2020-03-23,148.52194213867188
2020-03-24,156.9912567138672
2020-03-25,158.9762420654297
2020-03-26,160.12315368652344
2020-03-27,153.94760131835938
2020-03-30,155.6591033935547
2020-03-31,160.0437469482422
2020-04-01,158.8527374267578
2020-04-02,165.01063537597656
2020-04-03,167.4191131591797
2020-04-06,168.5924835205078
2020-04-07,168.69833374023438
2020-04-08,171.24794006347656
2020-04-09,171.02740478515625
2020-04-10,169.38645935058594
2020-04-13,165.91934204101562
2020-04-14,167.71905517578125
2020-04-15,162.54925537109375
2020-04-16,162.59336853027344
2020-04-17,162.9285888671875
2020-04-20,163.6608428955078
2020-04-21,160.49366760253906
2020-04-22,166.1751708984375
2020-04-23,166.50160217285156
2020-04-24,163.83729553222656
2020-04-27,164.34898376464844
2020-04-28,166.29869079589844
2020-04-29,171.0362091064453
2020-04-30,167.6220245361328
2020-05-04,163.82847595214844
2020-05-05,167.6220245361328
2020-05-06,165.01947021484375
2020-05-07,163.9608154296875
2020-05-08,163.51087951660156
2020-05-12,164.2431182861328
2020-05-13,162.505126953125
2020-05-14,162.24929809570312
2020-05-15,162.1963653564453
2020-05-18,169.82757568359375
2020-05-19,171.3273468017578
2020-05-20,173.5681915283203
2020-05-21,171.8037567138672
2020-05-22,171.45968627929688
2020-05-25,174.2827911376953
2020-05-26,173.67405700683594
2020-05-27,171.794921875
2020-05-28,173.67405700683594
2020-05-29,176.40011596679688
2020-06-01,175.3149871826172
2020-06-02,178.18222045898438
2020-06-03,183.5019989013672
2020-06-04,177.73226928710938
2020-06-05,179.135009765625
2020-06-08,180.77593994140625
2020-06-09,180.7141876220703
2020-06-10,177.9881134033203
2020-06-11,173.5681915283203
2020-06-15,171.3273468017578
2020-06-16,173.43585205078125
2020-06-17,172.79183959960938
2020-06-18,170.26869201660156
2020-06-19,172.7477264404297
2020-06-22,170.97447204589844
2020-06-23,172.05078125
2020-06-25,168.7600860595703
2020-06-26,170.16282653808594
2020-06-29,174.09751892089844
2020-06-30,171.06268310546875
2020-07-02,172.1301727294922
2020-07-03,174.10635375976562
2020-07-06,175.9943084716797
2020-07-07,174.9444580078125
2020-07-08,177.12355041503906
2020-07-09,175.66787719726562
2020-07-10,177.39703369140625
2020-07-13,173.53289794921875
2020-07-14,171.28323364257812
2020-07-15,173.91600036621094
2020-07-16,175.6392822265625
2020-07-17,176.91256713867188
2020-07-20,180.11019897460938
2020-07-21,179.38258361816406
2020-07-22,178.9230499267578
2020-07-23,177.9082489013672
2020-07-24,177.48699951171875
2020-07-27,176.6636505126953
2020-07-28,176.2519989013672
2020-07-29,176.39559936523438
2020-07-30,174.2989501953125
2020-07-31,174.51913452148438
2020-08-03,175.6871337890625
2020-08-04,175.2850341796875
2020-08-05,181.3164825439453
2020-08-06,180.6175994873047
2020-08-07,179.15283203125
2020-08-10,179.21983337402344
2020-08-11,183.33653259277344
2020-08-12,184.1981658935547
2020-08-13,185.6820831298828
2020-08-14,184.1790313720703
2020-08-17,181.97706604003906
2020-08-18,182.44618225097656
2020-08-19,181.6515655517578
2020-08-20,178.22418212890625
2020-08-21,176.3285675048828
2020-08-24,178.91348266601562
2020-08-25,178.31033325195312
2020-08-26,179.96658325195312
2020-08-27,176.57749938964844
2020-08-28,174.95953369140625
2020-08-31,173.46604919433594
2020-09-01,176.06051635742188
2020-09-02,174.23194885253906
2020-09-03,172.22145080566406
2020-09-04,171.16835021972656
2020-09-07,169.79931640625
2020-09-08,165.7879180908203
2020-09-09,165.73048400878906
2020-09-10,166.9272003173828
2020-09-11,170.3067169189453
2020-09-14,170.4790496826172
2020-09-15,174.9116668701172
2020-09-16,175.5531005859375
2020-09-17,175.88818359375
2020-09-18,174.38511657714844
2020-09-21,168.64088439941406
2020-09-22,171.23536682128906
2020-09-23,170.07693481445312
2020-09-24,168.7557830810547
2020-09-25,165.12733459472656
2020-09-28,164.8114013671875
2020-09-29,163.75830078125
2020-09-30,164.0646514892578
