No,Date,GAZP
1,2020-01-03,228.4952850341797
2,2020-01-06,226.33383178710938
3,2020-01-08,225.66334533691406
4,2020-01-09,224.14593505859375
5,2020-01-10,222.23150634765625
6,2020-01-13,221.8786163330078
7,2020-01-14,220.5552978515625
8,2020-01-15,221.70217895507812
9,2020-01-16,224.3135528564453
10,2020-01-17,225.3104705810547
11,2020-01-20,223.64306640625
12,2020-01-21,223.19313049316406
13,2020-01-22,218.8790740966797
14,2020-01-23,211.1155242919922
15,2020-01-24,209.92453002929688
16,2020-01-27,203.7578125
17,2020-01-28,207.3219757080078
18,2020-01-29,204.67532348632812
19,2020-01-30,204.2606658935547
20,2020-01-31,199.99952697753906
21,2020-02-03,200.82882690429688
22,2020-02-04,203.3519744873047
23,2020-02-05,205.1693572998047
24,2020-02-06,204.1283416748047
25,2020-02-07,202.12570190429688
26,2020-02-10,198.67620849609375
27,2020-02-11,206.3515167236328
28,2020-02-12,209.99510192871094
29,2020-02-13,206.04275512695312
30,2020-02-14,205.1164093017578
31,2020-02-17,206.2191925048828
32,2020-02-18,203.3519744873047
33,2020-02-19,204.5870819091797
34,2020-02-20,206.96908569335938
35,2020-02-21,204.67532348632812
36,2020-02-25,198.2174530029297
37,2020-02-26,198.28802490234375
38,2020-02-27,191.8831024169922
39,2020-02-28,178.78211975097656
40,2020-03-02,175.36793518066406
41,2020-03-03,177.7499237060547
42,2020-03-04,176.44424438476562
43,2020-03-05,174.67979431152344
44,2020-03-06,166.0957794189453
45,2020-03-10,150.85983276367188
46,2020-03-11,151.7685089111328
47,2020-03-12,144.44607543945312
48,2020-03-13,146.5369415283203
49,2020-03-16,146.5369415283203
50,2020-03-17,147.3309326171875
51,2020-03-18,146.7486572265625
52,2020-03-19,154.0005340576172
53,2020-03-20,155.50030517578125
54,2020-03-23,148.52194213867188
55,2020-03-24,156.9912567138672
56,2020-03-25,158.97625732421875
57,2020-03-26,160.12313842773438
58,2020-03-27,153.9475860595703
59,2020-03-30,155.6591033935547
60,2020-03-31,160.0437469482422
61,2020-04-01,158.8527374267578
62,2020-04-02,165.01065063476562
63,2020-04-03,167.4191131591797
64,2020-04-06,168.59246826171875
65,2020-04-07,168.69833374023438
66,2020-04-08,171.24794006347656
67,2020-04-09,171.02740478515625
68,2020-04-10,169.38645935058594
69,2020-04-13,165.91934204101562
70,2020-04-14,167.7190704345703
71,2020-04-15,162.5492401123047
72,2020-04-16,162.59336853027344
73,2020-04-17,162.9285888671875
74,2020-04-20,163.6608428955078
75,2020-04-21,160.49368286132812
76,2020-04-22,166.1751708984375
77,2020-04-23,166.50160217285156
78,2020-04-24,163.83731079101562
79,2020-04-27,164.34896850585938
80,2020-04-28,166.29869079589844
81,2020-04-29,171.0362091064453
82,2020-04-30,167.6220245361328
83,2020-05-04,163.82846069335938
84,2020-05-05,167.6220245361328
85,2020-05-06,165.01947021484375
86,2020-05-07,163.96080017089844
87,2020-05-08,163.5108642578125
88,2020-05-12,164.24310302734375
89,2020-05-13,162.50514221191406
90,2020-05-14,162.24929809570312
91,2020-05-15,162.1963653564453
92,2020-05-18,169.82757568359375
93,2020-05-19,171.32736206054688
94,2020-05-20,173.5681915283203
95,2020-05-21,171.8037567138672
96,2020-05-22,171.45968627929688
97,2020-05-25,174.2827911376953
98,2020-05-26,173.674072265625
99,2020-05-27,171.794921875
100,2020-05-28,173.674072265625
101,2020-05-29,176.40013122558594
102,2020-06-01,175.3149871826172
103,2020-06-02,178.1822052001953
104,2020-06-03,183.5019989013672
105,2020-06-04,177.73228454589844
106,2020-06-05,179.135009765625
107,2020-06-08,180.77593994140625
108,2020-06-09,180.7141876220703
109,2020-06-10,177.98812866210938
110,2020-06-11,173.5681915283203
111,2020-06-15,171.32736206054688
112,2020-06-16,173.4358673095703
113,2020-06-17,172.79183959960938
114,2020-06-18,170.26869201660156
115,2020-06-19,172.7477264404297
116,2020-06-22,170.97445678710938
117,2020-06-23,172.05078125
118,2020-06-25,168.76007080078125
119,2020-06-26,170.16282653808594
120,2020-06-29,174.09751892089844
121,2020-06-30,171.06268310546875
122,2020-07-02,172.1301727294922
123,2020-07-03,174.10635375976562
124,2020-07-06,175.9943084716797
125,2020-07-07,174.9444580078125
126,2020-07-08,177.12353515625
127,2020-07-09,175.66787719726562
128,2020-07-10,177.39703369140625
129,2020-07-13,173.53289794921875
130,2020-07-14,171.28323364257812
131,2020-07-15,173.91600036621094
132,2020-07-16,175.6392822265625
133,2020-07-17,176.91256713867188
134,2020-07-20,180.11019897460938
135,2020-07-21,179.38258361816406
136,2020-07-22,178.9230499267578
137,2020-07-23,177.9082489013672
138,2020-07-24,177.48699951171875
139,2020-07-27,176.6636505126953
140,2020-07-28,176.2519989013672
141,2020-07-29,176.39559936523438
142,2020-07-30,174.2989501953125
143,2020-07-31,174.51913452148438
144,2020-08-03,175.6871337890625
145,2020-08-04,175.2850341796875
146,2020-08-05,181.3164825439453
147,2020-08-06,180.6175994873047
148,2020-08-07,179.15283203125
149,2020-08-10,179.21983337402344
150,2020-08-11,183.33653259277344
151,2020-08-12,184.1981658935547
152,2020-08-13,185.6820831298828
153,2020-08-14,184.1790313720703
154,2020-08-17,181.97706604003906
155,2020-08-18,182.44618225097656
156,2020-08-19,181.6515655517578
157,2020-08-20,178.22418212890625
158,2020-08-21,176.3285675048828
159,2020-08-24,178.91348266601562
160,2020-08-25,178.31033325195312
161,2020-08-26,179.96658325195312
162,2020-08-27,176.57749938964844
163,2020-08-28,174.95953369140625
164,2020-08-31,173.46604919433594
